symbol,timeframe,total_trades,winning_trades,losing_trades,win_rate,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,max_drawdown_pct
SUPERUSDT,30m,3,3,0,1.0,0.2833977804085345,0.0,0.8501933412256036,inf,0.0
TURBOUSDT,30m,4,4,0,1.0,0.21170937307253046,0.0,0.8468374922901218,inf,0.0
LISTAUSDT,1h,1,1,0,1.0,0.8350730688935233,0.0,0.8350730688935233,inf,0.0
SUSHIUSDT,1h,2,2,0,1.0,0.4147889831086874,0.0,0.8295779662173748,inf,0.0
STORJUSDT,1h,1,1,0,1.0,0.8230452674897069,0.0,0.8230452674897069,inf,0.0
STORJUSDT,45m,1,1,0,1.0,0.8230452674897069,0.0,0.8230452674897069,inf,0.0
ALPINEUSDT,15m,1,1,0,1.0,0.8216981762308904,0.0,0.8216981762308904,inf,0.0
GRASSUSDT,1h,1,1,0,1.0,0.8189398451459209,0.0,0.8189398451459209,inf,0.0
COMMONUSDT,15m,2,2,0,1.0,0.4013653417720103,0.0,0.8027306835440206,inf,0.0
ASTERUSDT,15m,2,2,0,1.0,0.400616506830133,0.0,0.801233013660266,inf,0.0
KGENUSDT,45m,1,1,0,1.0,0.799463585723135,0.0,0.799463585723135,inf,0.0
TREEUSDT,30m,1,1,0,1.0,0.7830626450116033,0.0,0.7830626450116033,inf,0.0
OLUSDT,1h,1,1,0,1.0,0.7815892314372541,0.0,0.7815892314372541,inf,0.0
ZENUSDT,30m,1,1,0,1.0,0.778425070309358,0.0,0.778425070309358,inf,0.0
COMMONUSDT,25m,1,1,0,1.0,0.7778864970645765,0.0,0.7778864970645765,inf,0.0
BELUSDT,1h,1,1,0,1.0,0.7761966364812402,0.0,0.7761966364812402,inf,0.0
HUSDT,1h,1,1,0,1.0,0.7696536558548612,0.0,0.7696536558548612,inf,0.0
ATHUSDT,30m,1,1,0,1.0,0.7653061224489779,0.0,0.7653061224489779,inf,0.0
NILUSDT,30m,1,1,0,1.0,0.7641470466749295,0.0,0.7641470466749295,inf,0.0
TOSHIUSDT,30m,1,1,0,1.0,0.7577826324412889,0.0,0.7577826324412889,inf,0.0
NEWTUSDT,30m,1,1,0,1.0,0.7554945054944985,0.0,0.7554945054944985,inf,0.0
GIGGLEUSDT,1h,1,1,0,1.0,0.7549361207897782,0.0,0.7549361207897782,inf,0.0
ENSOUSDT,1h,1,1,0,1.0,0.7503410641200552,0.0,0.7503410641200552,inf,0.0
DASHUSDT,30m,1,1,0,1.0,0.7490205116386248,0.0,0.7490205116386248,inf,0.0
TONUSDT,25m,2,2,0,1.0,0.3719101546861239,0.0,0.7438203093722477,inf,0.0
PONKEUSDT,25m,1,1,0,1.0,0.7426823940585409,0.0,0.7426823940585409,inf,0.0
ARKUSDT,25m,1,1,0,1.0,0.7414448669201548,0.0,0.7414448669201548,inf,0.0
PLAYUSDT,30m,2,1,1,0.5,1.498127340823966,-0.7601935038009605,0.7379338370230054,1.9707184201566352,0.0
GPSUSDT,1h,2,1,1,0.5,0.7961783439490466,-0.05841121495326865,0.737767128995778,13.630573248408234,0.05841121495326862
BROCCOLI714USDT,1h,1,1,0,1.0,0.7290400972053482,0.0,0.7290400972053482,inf,0.0
RVNUSDT,25m,1,1,0,1.0,0.7202216066482086,0.0,0.7202216066482086,inf,0.0
BDXNUSDT,30m,1,1,0,1.0,0.7199062447681113,0.0,0.7199062447681113,inf,0.0
IOUSDT,30m,1,1,0,1.0,0.7149602050452019,0.0,0.7149602050452019,inf,0.0
XAIUSDT,30m,1,1,0,1.0,0.713046829832342,0.0,0.713046829832342,inf,0.0
PONKEUSDT,1h,1,1,0,1.0,0.7111901322369171,0.0,0.7111901322369171,inf,0.0
ILVUSDT,15m,1,1,0,1.0,0.709353126321228,0.0,0.709353126321228,inf,0.0
GMXUSDT,25m,1,1,0,1.0,0.7080283211328473,0.0,0.7080283211328473,inf,0.0
EDUUSDT,1h,1,1,0,1.0,0.7072135785007079,0.0,0.7072135785007079,inf,0.0
AINUSDT,30m,1,1,0,1.0,0.704007426891532,0.0,0.704007426891532,inf,0.0
NKNUSDT,15m,1,1,0,1.0,0.7027027027026929,0.0,0.7027027027026929,inf,0.0
SSVUSDT,30m,2,2,0,1.0,0.3502857116439051,0.0,0.7005714232878102,inf,0.0
MANTAUSDT,1h,1,1,0,1.0,0.6971556051310659,0.0,0.6971556051310659,inf,0.0
MOCAUSDT,1h,1,1,0,1.0,0.6947087933003373,0.0,0.6947087933003373,inf,0.0
UMAUSDT,1h,2,2,0,1.0,0.3459432553509189,0.0,0.6918865107018378,inf,0.0
TRADOORUSDT,15m,1,1,0,1.0,0.6899950714637759,0.0,0.6899950714637759,inf,0.0
BBUSDT,15m,1,1,0,1.0,0.6832168561593854,0.0,0.6832168561593854,inf,0.0
FORMUSDT,1h,1,1,0,1.0,0.6725829051844917,0.0,0.6725829051844917,inf,0.0
