symbol,timeframe,trade_id,signal_time,direction,pattern_group,entry1_price,entry1_filled,entry2_price,entry2_filled,exit_price,exit_time,exit_reason,pnl_pct,tp_price,sl_price
KDAUSDT,15m,0,2025-11-02 15:30:00,Long,G1,0.0473,True,0.04779,True,0.04702,2025-11-02 17:30:00,SL,-1.1042170575244603,0.04856,0.04702
KDAUSDT,15m,1,2025-11-03 09:15:00,Long,G3,0.04312,True,0.04392,True,0.04177,2025-11-03 09:45:00,SL,-4.021139705882356,0.04661,0.04177
DASHUSDT,30m,0,2025-10-30 20:30:00,Long,G1,42.76,False,43.39,True,44.04,2025-10-30 21:30:00,TP,0.7490205116386248,44.04,41.11
DASHUSDT,1h,0,2025-10-09 01:00:00,Short,G1,33.7,False,32.39,True,31.0,2025-10-09 06:00:00,TP,2.1457239888854596,31.0,34.29
DASHUSDT,15m,0,2025-11-04 14:15:00,Long,G2,124.71,False,129.2,True,133.25,2025-11-04 15:00:00,TP,1.5673374613003141,133.25,119.21
DASHUSDT,15m,1,2025-11-05 12:00:00,Long,G1,106.72,False,109.89,True,113.49,2025-11-05 12:15:00,TP,1.6380016380016353,113.49,100.01
DASHUSDT,25m,0,2025-11-02 11:30:00,Short,G2,93.13,True,90.92,True,88.1,2025-11-02 14:50:00,TP,4.265145340939974,88.1,96.7
MILKUSDT,30m,0,2025-11-02 10:30:00,Short,G2,0.03353,False,0.03298,True,0.03317,2025-11-02 11:00:00,TP,-0.2880533656761609,0.03317,0.03397
MILKUSDT,30m,1,2025-11-04 00:00:00,Long,G2,0.02813,False,0.02855,True,0.02895,2025-11-04 00:30:00,TP,0.7005253940455359,0.02895,0.02783
MILKUSDT,15m,0,2025-11-02 16:45:00,Long,G1,0.03193,True,0.03222,True,0.03259,2025-11-02 21:45:00,TP,1.6056118472330523,0.03259,0.03181
MILKUSDT,15m,1,2025-11-03 23:45:00,Long,G2,0.02807,False,0.02849,True,0.0287,2025-11-04 00:00:00,TP,0.3685503685503657,0.0287,0.02783
MILKUSDT,25m,0,2025-11-04 00:35:00,Long,G2,0.02813,False,0.02871,True,0.02895,2025-11-04 01:00:00,TP,0.4179728317659363,0.02895,0.02783
